fecha,tipo_ingreso,linea,ingreso
2012-01-10,Boletos,Línea A,508695
2012-01-10,Boletos,Línea B,799080
2012-01-10,Boletos,Línea 12,NaN
2012-01-10,Recargas,Línea 1,646712
2012-01-10,Recargas,Línea 2,900164.5
2012-01-10,Recargas,Línea 3,723115.5
2012-01-10,Recargas,Línea 4,82716
2012-01-10,Recargas,Línea 5,171901
2012-01-10,Recargas,Línea 6,162028
2012-01-10,Recargas,Línea 7,385301.2
2012-01-10,Recargas,Línea 8,375675
2012-01-10,Recargas,Línea 9,342119.5
2012-01-10,Recargas,Línea A,224897.5
2012-01-10,Recargas,Línea B,361789
2012-01-10,Recargas,Línea 12,NaN
2012-01-10,Tarjetas,Línea 1,6550
2012-01-10,Tarjetas,Línea 2,10840
2012-01-10,Tarjetas,Línea 3,7110
2012-01-10,Tarjetas,Línea 4,1030
2012-01-10,Tarjetas,Línea 5,2310
2012-01-10,Tarjetas,Línea 6,2190
2012-01-10,Tarjetas,Línea 7,4970
2012-01-10,Tarjetas,Línea 8,3730
2012-01-10,Tarjetas,Línea 9,3350
2012-01-10,Tarjetas,Línea A,1450
2012-01-10,Tarjetas,Línea B,4300
2012-01-10,Tarjetas,Línea 12,NaN
2012-01-11,Boletos,Línea 1,1282530
2012-01-11,Boletos,Línea 2,1414770
2012-01-11,Boletos,Línea 3,1193520
2012-01-11,Boletos,Línea 4,156450
2012-01-11,Boletos,Línea 5,379155
2012-01-11,Boletos,Línea 6,272850
2012-01-11,Boletos,Línea 7,459150
2012-01-11,Boletos,Línea 8,725070
2012-01-11,Boletos,Línea 9,508395
2012-01-11,Boletos,Línea A,527325
2012-01-11,Boletos,Línea B,836235
2012-01-11,Boletos,Línea 12,NaN
2012-01-11,Recargas,Línea 1,602497.3
2012-01-11,Recargas,Línea 2,828672.5
2012-01-11,Recargas,Línea 3,652443
2012-01-11,Recargas,Línea 4,71769
2012-01-11,Recargas,Línea 5,159570
2012-01-11,Recargas,Línea 6,142442
2012-01-11,Recargas,Línea 7,351464
2012-01-11,Recargas,Línea 8,342880.3
2012-01-11,Recargas,Línea 9,314392
2012-01-11,Recargas,Línea A,206981
2012-01-11,Recargas,Línea B,345365
2012-01-11,Recargas,Línea 12,NaN
2012-01-11,Tarjetas,Línea 1,6510
2012-01-11,Tarjetas,Línea 2,9300
2012-01-11,Tarjetas,Línea 3,6460
2012-01-11,Tarjetas,Línea 4,840
2012-01-11,Tarjetas,Línea 5,2270
2012-01-11,Tarjetas,Línea 6,1690
2012-01-11,Tarjetas,Línea 7,3480
2012-01-11,Tarjetas,Línea 8,3600
2012-01-11,Tarjetas,Línea 9,3340
2012-01-11,Tarjetas,Línea A,1400
2012-01-11,Tarjetas,Línea B,3620
2012-01-11,Tarjetas,Línea 12,NaN
2012-01-12,Boletos,Línea 1,1276770
2012-01-12,Boletos,Línea 2,1415370
2012-01-12,Boletos,Línea 3,1189257
2012-01-12,Boletos,Línea 4,157500
2012-01-12,Boletos,Línea 5,376080
2012-01-12,Boletos,Línea 6,279090
2012-01-12,Boletos,Línea 7,458646
2012-01-12,Boletos,Línea 8,735603
2012-01-12,Boletos,Línea 9,518745
2012-01-12,Boletos,Línea A,486960
2012-01-12,Boletos,Línea B,817155
2012-01-12,Boletos,Línea 12,NaN
2012-01-12,Recargas,Línea 1,610762
2012-01-12,Recargas,Línea 2,814606.5
2012-01-12,Recargas,Línea 3,636073
2012-01-12,Recargas,Línea 4,74305
2012-01-12,Recargas,Línea 5,149544
2012-01-12,Recargas,Línea 6,142140
2012-01-12,Recargas,Línea 7,345725
2012-01-12,Recargas,Línea 8,342901
2012-01-12,Recargas,Línea 9,313072
2012-01-12,Recargas,Línea A,198745
2012-01-12,Recargas,Línea B,333917
2012-01-12,Recargas,Línea 12,NaN
2012-01-12,Tarjetas,Línea 1,5780
2012-01-12,Tarjetas,Línea 2,8830
2012-01-12,Tarjetas,Línea 3,6300
2012-01-12,Tarjetas,Línea 4,890
2012-01-12,Tarjetas,Línea 5,1650
2012-01-12,Tarjetas,Línea 6,1530
2012-01-12,Tarjetas,Línea 7,3330
2012-01-12,Tarjetas,Línea 8,3140
2012-01-12,Tarjetas,Línea 9,3010
2012-01-12,Tarjetas,Línea A,1160
2012-01-12,Tarjetas,Línea B,3330
2012-01-12,Tarjetas,Línea 12,NaN
2012-01-13,Boletos,Línea 1,1391025
2012-01-13,Boletos,Línea 2,1539780
2012-01-13,Boletos,Línea 3,1261203
2012-01-13,Boletos,Línea 4,170295
2012-01-13,Boletos,Línea 5,399240
2012-01-13,Boletos,Línea 6,294390
2012-01-13,Boletos,Línea 7,496764
2012-01-13,Boletos,Línea 8,788424
2012-01-13,Boletos,Línea 9,546450
2012-01-13,Boletos,Línea A,526620
2012-01-13,Boletos,Línea B,876885
2012-01-13,Boletos,Línea 12,NaN
2012-01-13,Recargas,Línea 1,766704.2
2012-01-13,Recargas,Línea 2,1001920.5
2012-01-13,Recargas,Línea 3,770420.5
2012-01-13,Recargas,Línea 4,88380
2012-01-13,Recargas,Línea 5,197122.4
2012-01-13,Recargas,Línea 6,184560
2012-01-13,Recargas,Línea 7,461356
2012-01-13,Recargas,Línea 8,432006.5
2012-01-13,Recargas,Línea 9,384806
2012-01-13,Recargas,Línea A,242806
2012-01-13,Recargas,Línea B,408320
2012-01-13,Recargas,Línea 12,NaN
2012-01-13,Tarjetas,Línea 1,6890
2012-01-13,Tarjetas,Línea 2,10770
2012-01-13,Tarjetas,Línea 3,6740
2012-01-13,Tarjetas,Línea 4,1000
2012-01-13,Tarjetas,Línea 5,2080
2012-01-13,Tarjetas,Línea 6,1850
2012-01-13,Tarjetas,Línea 7,4550
2012-01-13,Tarjetas,Línea 8,3370
2012-01-13,Tarjetas,Línea 9,3270
2012-01-13,Tarjetas,Línea A,1290
2012-01-13,Tarjetas,Línea B,3220
2012-01-13,Tarjetas,Línea 12,NaN
2012-01-14,Boletos,Línea 1,1388286
2012-01-14,Boletos,Línea 2,1495275
2012-01-14,Boletos,Línea 3,1049409
2012-01-14,Boletos,Línea 4,153075
2012-01-14,Boletos,Línea 5,366810
2012-01-14,Boletos,Línea 6,235725
2012-01-14,Boletos,Línea 7,388095
2012-01-14,Boletos,Línea 8,735603
2012-01-14,Boletos,Línea 9,467295
2012-01-14,Boletos,Línea A,470355
2012-01-14,Boletos,Línea B,892620
2012-01-14,Boletos,Línea 12,NaN
2012-01-14,Recargas,Línea 1,648227.2
2012-01-14,Recargas,Línea 2,853248
2012-01-14,Recargas,Línea 3,584619
2012-01-14,Recargas,Línea 4,73312
2012-01-14,Recargas,Línea 5,168982
2012-01-14,Recargas,Línea 6,132095
2012-01-14,Recargas,Línea 7,309341
2012-01-14,Recargas,Línea 8,386579
2012-01-14,Recargas,Línea 9,321687.5
2012-01-14,Recargas,Línea A,214242
2012-01-14,Recargas,Línea B,397925
2012-01-14,Recargas,Línea 12,NaN
2012-01-14,Tarjetas,Línea 1,6850
2012-01-14,Tarjetas,Línea 2,10510
2012-01-14,Tarjetas,Línea 3,6600
2012-01-14,Tarjetas,Línea 4,760
2012-01-14,Tarjetas,Línea 5,2300
2012-01-14,Tarjetas,Línea 6,1890
2012-01-14,Tarjetas,Línea 7,4090
2012-01-14,Tarjetas,Línea 8,3630
2012-01-14,Tarjetas,Línea 9,3070
2012-01-14,Tarjetas,Línea A,1410
2012-01-14,Tarjetas,Línea B,4220
2012-01-14,Tarjetas,Línea 12,NaN
2012-01-15,Boletos,Línea 1,938274
2012-01-15,Boletos,Línea 2,942495
2012-01-15,Boletos,Línea 3,710934
2012-01-15,Boletos,Línea 4,91440
2012-01-15,Boletos,Línea 5,263190
2012-01-15,Boletos,Línea 6,156840
2012-01-15,Boletos,Línea 7,224355
2012-01-15,Boletos,Línea 8,471930
2012-01-15,Boletos,Línea 9,275175
2012-01-15,Boletos,Línea A,326265
2012-01-15,Boletos,Línea B,619950
2012-01-15,Boletos,Línea 12,NaN
2012-01-15,Recargas,Línea 1,354013
2012-01-15,Recargas,Línea 2,431750.5
2012-01-15,Recargas,Línea 3,325001.5
2012-01-15,Recargas,Línea 4,36433
2012-01-15,Recargas,Línea 5,93657
2012-01-15,Recargas,Línea 6,64474
2012-01-15,Recargas,Línea 7,129727
2012-01-15,Recargas,Línea 8,200481
2012-01-15,Recargas,Línea 9,160218
2012-01-15,Recargas,Línea A,118315
2012-01-15,Recargas,Línea B,247629.5
2012-01-15,Recargas,Línea 12,NaN
2012-01-15,Tarjetas,Línea 1,4080
2012-01-15,Tarjetas,Línea 2,5690
2012-01-15,Tarjetas,Línea 3,3660
2012-01-15,Tarjetas,Línea 4,320
2012-01-15,Tarjetas,Línea 5,1460
2012-01-15,Tarjetas,Línea 6,970
2012-01-15,Tarjetas,Línea 7,2120
2012-01-15,Tarjetas,Línea 8,2370
2012-01-15,Tarjetas,Línea 9,1760
2012-01-15,Tarjetas,Línea A,830
2012-01-15,Tarjetas,Línea B,2860
2012-01-15,Tarjetas,Línea 12,NaN
2012-01-16,Boletos,Línea 1,1537365
2012-01-16,Boletos,Línea 2,1657098
2012-01-16,Boletos,Línea 3,1404891
2012-01-16,Boletos,Línea 4,189840
2012-01-16,Boletos,Línea 5,458850
2012-01-16,Boletos,Línea 6,350925
2012-01-16,Boletos,Línea 7,549330
2012-01-16,Boletos,Línea 8,859770
2012-01-16,Boletos,Línea 9,598875
2012-01-16,Boletos,Línea A,598035
2012-01-16,Boletos,Línea B,991620
2012-01-16,Boletos,Línea 12,NaN
2012-01-16,Recargas,Línea 1,986422
2012-01-16,Recargas,Línea 2,1334669
2012-01-16,Recargas,Línea 3,1012982
2012-01-16,Recargas,Línea 4,131341
2012-01-16,Recargas,Línea 5,270451
2012-01-16,Recargas,Línea 6,267223
2012-01-16,Recargas,Línea 7,617896
2012-01-16,Recargas,Línea 8,564994
2012-01-16,Recargas,Línea 9,494032
2012-01-16,Recargas,Línea A,365440
2012-01-16,Recargas,Línea B,605814
2012-01-16,Recargas,Línea 12,NaN
2012-01-16,Tarjetas,Línea 1,9260
2012-01-16,Tarjetas,Línea 2,14410
2012-01-16,Tarjetas,Línea 3,9200
2012-01-16,Tarjetas,Línea 4,1330
2012-01-16,Tarjetas,Línea 5,3020
2012-01-16,Tarjetas,Línea 6,2700
2012-01-16,Tarjetas,Línea 7,6120
2012-01-16,Tarjetas,Línea 8,5380
2012-01-16,Tarjetas,Línea 9,3960
2012-01-16,Tarjetas,Línea A,2020
2012-01-16,Tarjetas,Línea B,5750
2012-01-16,Tarjetas,Línea 12,NaN
2012-01-17,Boletos,Línea 1,1351155
2012-01-17,Boletos,Línea 2,1501752
2012-01-17,Boletos,Línea 3,1243701
2012-01-17,Boletos,Línea 4,162015
2012-01-17,Boletos,Línea 5,387060
2012-01-17,Boletos,Línea 6,297930
2012-01-17,Boletos,Línea 7,484920
2012-01-17,Boletos,Línea 8,764010
2012-01-17,Boletos,Línea 9,538515
2012-01-17,Boletos,Línea A,512175
2012-01-17,Boletos,Línea B,827415
2012-01-17,Boletos,Línea 12,NaN
2012-01-17,Recargas,Línea 1,748658.5
2012-01-17,Recargas,Línea 2,1004003
2012-01-17,Recargas,Línea 3,800525.5
2012-01-17,Recargas,Línea 4,88920.5
2012-01-17,Recargas,Línea 5,197058
2012-01-17,Recargas,Línea 6,185892
2012-01-17,Recargas,Línea 7,455356
2012-01-17,Recargas,Línea 8,419425
2012-01-17,Recargas,Línea 9,392696.5
2012-01-17,Recargas,Línea A,252841
2012-01-17,Recargas,Línea B,414235
2012-01-17,Recargas,Línea 12,NaN
2012-01-17,Tarjetas,Línea 1,7300
2012-01-17,Tarjetas,Línea 2,11050
2012-01-17,Tarjetas,Línea 3,7210
2012-01-17,Tarjetas,Línea 4,760
2012-01-17,Tarjetas,Línea 5,2220
2012-01-17,Tarjetas,Línea 6,2160
2012-01-17,Tarjetas,Línea 7,4660
2012-01-17,Tarjetas,Línea 8,3440
2012-01-17,Tarjetas,Línea 9,3500
2012-01-17,Tarjetas,Línea A,1420
2012-01-17,Tarjetas,Línea B,3850
2012-01-17,Tarjetas,Línea 12,NaN
2012-01-18,Boletos,Línea 1,1347255
2012-01-18,Boletos,Línea 2,1489275
2012-01-18,Boletos,Línea 3,1207875
2012-01-18,Boletos,Línea 4,165810
2012-01-18,Boletos,Línea 5,378570
2012-01-18,Boletos,Línea 6,287040
2012-01-18,Boletos,Línea 7,484380
2012-01-18,Boletos,Línea 8,756870
2012-01-18,Boletos,Línea 9,518445
2012-01-18,Boletos,Línea A,520020
2012-01-18,Boletos,Línea B,842670
2012-01-18,Boletos,Línea 12,NaN
2012-01-18,Recargas,Línea 1,621523.5
2012-01-18,Recargas,Línea 2,859043
2012-01-18,Recargas,Línea 3,667882.3
2012-01-18,Recargas,Línea 4,76138
2012-01-18,Recargas,Línea 5,161966
2012-01-18,Recargas,Línea 6,153204
2012-01-18,Recargas,Línea 7,380939.5
2012-01-18,Recargas,Línea 8,361520
2012-01-18,Recargas,Línea 9,323104
2012-01-18,Recargas,Línea A,219741
2012-01-18,Recargas,Línea B,352559
2012-01-18,Recargas,Línea 12,NaN
2012-01-18,Tarjetas,Línea 1,6660
2012-01-18,Tarjetas,Línea 2,9020
